temperatura,humedad,accel_x,accel_y,accel_z
29.20,65.70,9.7310,0.1629,-2.0430
29.30,65.70,9.7381,0.1892,-1.9256
29.20,65.70,9.6879,0.1988,-1.9855
29.20,65.80,9.7310,0.1748,-1.9615
29.20,65.70,9.7214,0.1820,-1.9687
29.20,65.70,9.7765,0.1820,-2.0286
29.20,65.70,9.7358,0.1844,-1.9208
29.20,65.70,9.7286,0.1748,-2.0046
29.20,65.70,9.7214,0.1796,-2.0118
29.20,65.70,9.7358,0.2084,-1.9519
29.20,65.70,9.6711,0.1557,-1.9232
29.20,65.80,9.7860,0.1437,-1.9328
29.20,65.70,9.6759,0.1485,-1.9448
29.20,65.80,9.7381,0.1748,-1.9495
29.20,65.90,9.7813,0.1940,-1.9711
29.20,66.10,9.8052,0.1509,-2.0382
29.20,66.20,9.6567,0.1533,-1.9328
29.20,66.30,9.7669,0.2156,-2.0573
29.20,66.50,10.1932,0.0335,-2.0046
29.20,66.60,9.8148,0.2156,-1.9519
29.20,66.50,9.9274,0.1221,-1.8921
29.20,67.30,9.8028,0.1245,-2.0046
29.20,68.20,9.7693,0.1557,-1.9687
29.20,68.80,9.7429,0.1389,-1.9472
29.20,68.30,9.7477,0.1748,-1.9903
29.20,68.10,9.7166,0.1389,-1.9328
29.20,67.90,9.7717,0.2012,-1.8945
29.20,67.60,9.7286,0.1772,-1.9591
29.20,67.90,9.7190,0.1677,-1.9974
29.20,68.70,9.5178,0.2084,-1.9567
29.20,69.10,9.8507,0.1940,-1.9567
29.20,69.50,9.8363,0.1772,-2.0358
29.20,69.50,9.7190,0.1653,-2.0046
29.20,68.80,9.7405,0.2036,-1.9974
29.20,68.00,9.6471,0.1724,-1.8466
29.20,67.20,9.6735,0.1772,-1.9663
29.20,67.10,9.7022,0.1509,-1.9591
29.20,67.10,10.0040,0.1988,-2.0573
29.20,67.10,9.6543,0.1629,-1.9615
29.20,66.90,9.8148,0.1844,-1.9232
29.20,66.70,9.7094,0.1389,-1.9160
29.20,66.80,9.7166,0.1365,-2.0118
29.20,67.10,9.7501,0.1772,-1.9974
29.20,67.40,10.2267,0.1221,-1.8873
29.20,67.20,9.7310,0.1605,-1.9807
29.20,67.00,9.7908,0.1269,-2.0046
29.20,66.90,9.7789,0.1988,-1.9879
29.20,66.80,9.7813,0.1533,-1.9567
29.20,67.10,9.7094,0.1317,-1.9783
29.20,68.00,9.7669,0.1772,-1.9831
29.20,68.10,9.7477,0.1437,-2.0238
29.20,68.90,9.7381,0.1341,-1.9088
29.30,68.80,9.7765,0.1269,-1.9831
29.30,67.80,9.8196,0.1820,-1.9783
29.30,67.40,9.7693,0.1868,-1.9495
29.30,67.50,9.8411,0.1437,-2.0142
29.20,68.00,9.7621,0.1868,-1.9759
29.20,68.20,9.7166,0.1293,-2.0406
29.20,67.60,9.7334,0.1485,-1.9903
29.30,67.60,9.7621,0.1605,-2.0022
29.30,67.40,9.7597,0.1605,-2.0118
29.30,67.60,9.7477,0.1629,-1.9998
29.30,68.70,9.7549,0.1653,-1.9687
29.30,69.00,9.9609,0.1437,-2.0621
29.30,69.20,9.7717,0.1724,-1.9472
29.30,69.50,9.8316,0.1653,-1.9328
29.30,69.80,9.9609,0.1772,-1.9495
29.20,69.60,9.8004,0.1940,-1.9567
29.30,70.20,9.8531,0.1820,-2.0070
29.30,69.90,9.7238,0.1653,-2.0142
29.30,68.70,9.7669,0.1533,-1.9927
29.30,68.10,9.7860,0.1365,-1.9160
29.30,67.90,9.7334,0.1533,-1.9759
29.30,68.30,9.7621,0.1581,-1.9687
29.30,68.80,9.7405,0.1892,-1.9998
29.30,68.60,9.7860,0.1365,-1.9328
29.30,68.40,9.6902,0.1509,-2.0022
29.30,69.00,9.5442,0.1581,-1.8945
29.30,69.70,9.9753,0.1677,-2.0094
29.30,70.30,9.6280,0.1748,-2.0190
29.30,70.20,9.7741,0.1820,-1.9064